unit_id,facility_id,blood_group,component,quantity_ml,collection_date,expiry_date,days_remaining,status,is_near_expiry
UNIT00001,FAC001,A+,Platelets,51,2026-07-31,2026-08-05,4,Available,False
UNIT00002,FAC001,O+,Whole Blood,361,2026-07-13,2026-08-17,16,Available,False
UNIT00003,FAC001,A-,Whole Blood,439,2026-07-14,2026-08-18,17,Available,False
UNIT00004,FAC001,AB+,RBC,250,2026-07-18,2026-08-22,21,Available,False
UNIT00005,FAC001,O+,RBC,259,2026-07-09,2026-08-13,12,Available,False
UNIT00006,FAC001,A+,Platelets,55,2026-07-31,2026-08-05,4,Available,False
UNIT00007,FAC001,O+,Platelets,58,2026-07-28,2026-08-02,1,Available,True
UNIT00008,FAC001,A+,Plasma,240,2026-06-10,2027-06-10,313,Available,False
UNIT00009,FAC001,O+,Platelets,50,2026-07-29,2026-08-03,2,Available,False
UNIT00010,FAC001,O+,Platelets,53,2026-07-26,2026-07-31,-1,Expired,False
UNIT00011,FAC001,O+,Plasma,223,2026-04-19,2027-04-19,261,Available,False
UNIT00012,FAC001,A+,Platelets,60,2026-07-31,2026-08-05,4,Available,False
UNIT00013,FAC001,O+,RBC,279,2026-07-15,2026-08-19,18,Available,False
UNIT00014,FAC001,B+,RBC,299,2026-07-10,2026-08-14,13,Available,False
UNIT00015,FAC001,A+,Whole Blood,358,2026-07-05,2026-08-09,8,Available,False
UNIT00016,FAC001,A+,Platelets,60,2026-07-31,2026-08-05,4,Available,False
UNIT00017,FAC001,B+,Platelets,58,2026-07-31,2026-08-05,4,Available,False
UNIT00018,FAC001,B+,Plasma,214,2025-08-31,2026-08-31,30,Available,True
UNIT00019,FAC001,O-,RBC,253,2026-07-16,2026-08-20,19,Available,False
UNIT00020,FAC001,O+,RBC,277,2026-07-12,2026-08-16,15,Available,False
UNIT00021,FAC001,AB+,Plasma,233,2026-03-23,2027-03-23,234,Reserved,False
UNIT00022,FAC001,B+,Whole Blood,418,2026-07-10,2026-08-14,13,Available,False
UNIT00023,FAC001,O+,Platelets,57,2026-07-31,2026-08-05,4,Available,False
UNIT00024,FAC001,A+,Platelets,58,2026-07-27,2026-08-01,0,Available,True
UNIT00025,FAC001,O+,Platelets,53,2026-07-28,2026-08-02,1,Available,True
UNIT00026,FAC001,A+,RBC,283,2026-07-15,2026-08-19,18,Available,False
UNIT00027,FAC001,O+,Platelets,55,2026-07-30,2026-08-04,3,Available,False
UNIT00028,FAC001,O+,Platelets,59,2026-07-31,2026-08-05,4,Available,False
UNIT00029,FAC001,O+,Whole Blood,447,2026-07-08,2026-08-12,11,Available,False
UNIT00030,FAC001,B-,RBC,285,2026-07-26,2026-08-30,29,Available,False
UNIT00031,FAC001,A+,Plasma,234,2025-07-05,2026-07-05,-27,Expired,False
UNIT00032,FAC001,O+,RBC,292,2026-07-09,2026-08-13,12,Available,False
UNIT00033,FAC001,O+,Plasma,215,2025-08-30,2026-08-30,29,Available,True
UNIT00034,FAC001,A-,Platelets,59,2026-08-01,2026-08-06,5,Available,False
UNIT00035,FAC001,A-,Whole Blood,358,2026-07-09,2026-08-13,12,Available,False
UNIT00036,FAC001,O+,Platelets,60,2026-07-31,2026-08-05,4,Available,False
UNIT00037,FAC001,B+,RBC,286,2026-07-09,2026-08-13,12,Reserved,False
UNIT00038,FAC001,B+,Plasma,206,2025-10-22,2026-10-22,82,Available,False
UNIT00039,FAC001,O+,Platelets,50,2026-07-30,2026-08-04,3,Available,False
UNIT00040,FAC001,O+,Whole Blood,363,2026-07-28,2026-09-01,31,Available,False
UNIT00041,FAC001,B+,RBC,261,2026-07-15,2026-08-19,18,Available,False
UNIT00042,FAC001,B+,RBC,285,2026-07-01,2026-08-05,4,Available,True
UNIT00043,FAC001,A+,Whole Blood,446,2026-06-24,2026-07-29,-3,Expired,False
UNIT00044,FAC001,O+,RBC,275,2026-07-19,2026-08-23,22,Available,False
UNIT00045,FAC001,O+,RBC,266,2026-07-19,2026-08-23,22,Reserved,False
UNIT00046,FAC001,O+,Plasma,246,2026-04-18,2027-04-18,260,Available,False
UNIT00047,FAC001,O-,Plasma,203,2026-05-20,2027-05-20,292,Available,False
UNIT00048,FAC001,AB+,Whole Blood,424,2026-07-08,2026-08-12,11,Available,False
UNIT00049,FAC001,B+,RBC,261,2026-07-28,2026-09-01,31,Available,False
UNIT00050,FAC001,A+,Whole Blood,365,2026-07-10,2026-08-14,13,Available,False
UNIT00051,FAC001,O+,RBC,255,2026-07-14,2026-08-18,17,Available,False
UNIT00052,FAC001,B+,Platelets,55,2026-07-27,2026-08-01,0,Available,True
UNIT00053,FAC001,B+,Plasma,229,2026-05-26,2027-05-26,298,Available,False
UNIT00054,FAC001,B+,Whole Blood,422,2026-07-30,2026-09-03,33,Available,False
UNIT00055,FAC001,O-,Whole Blood,366,2026-07-15,2026-08-19,18,Available,False
UNIT00056,FAC001,O+,Whole Blood,370,2026-07-01,2026-08-05,4,Available,True
UNIT00057,FAC001,B+,Platelets,60,2026-07-29,2026-08-03,2,Reserved,False
UNIT00058,FAC001,B+,Platelets,52,2026-07-27,2026-08-01,0,Available,True
UNIT00059,FAC001,B+,Whole Blood,386,2026-07-08,2026-08-12,11,Available,False
UNIT00060,FAC001,AB+,Platelets,54,2026-07-31,2026-08-05,4,Available,False
UNIT00061,FAC001,B+,Platelets,51,2026-07-27,2026-08-01,0,Available,True
UNIT00062,FAC001,O+,Platelets,52,2026-07-31,2026-08-05,4,Available,False
UNIT00063,FAC001,O+,Platelets,56,2026-07-31,2026-08-05,4,Available,False
UNIT00064,FAC001,AB+,Whole Blood,369,2026-07-27,2026-08-31,30,Reserved,False
UNIT00065,FAC001,AB+,Platelets,52,2026-07-29,2026-08-03,2,Available,False
UNIT00066,FAC001,A+,Platelets,50,2026-07-27,2026-08-01,0,Available,True
UNIT00067,FAC001,O+,RBC,272,2026-07-10,2026-08-14,13,Available,False
UNIT00068,FAC001,O+,Plasma,247,2025-06-23,2026-06-23,-39,Expired,False
UNIT00069,FAC001,A+,RBC,261,2026-07-02,2026-08-06,5,Reserved,False
UNIT00070,FAC001,O+,Whole Blood,450,2026-07-24,2026-08-28,27,Reserved,False
UNIT00071,FAC001,O+,RBC,256,2026-07-22,2026-08-26,25,Available,False
UNIT00072,FAC001,B+,Whole Blood,408,2026-07-02,2026-08-06,5,Available,True
UNIT00073,FAC001,B+,RBC,275,2026-07-23,2026-08-27,26,Available,False
UNIT00074,FAC001,B+,Whole Blood,385,2026-06-24,2026-07-29,-3,Expired,False
UNIT00075,FAC001,B+,Plasma,221,2025-12-17,2026-12-17,138,Available,False
UNIT00076,FAC001,O+,Whole Blood,424,2026-07-01,2026-08-05,4,Available,True
UNIT00077,FAC001,O+,Platelets,55,2026-08-01,2026-08-06,5,Available,False
UNIT00078,FAC001,O+,Platelets,51,2026-07-30,2026-08-04,3,Reserved,False
UNIT00079,FAC001,B+,RBC,250,2026-07-23,2026-08-27,26,Available,False
UNIT00080,FAC001,B+,RBC,292,2026-07-20,2026-08-24,23,Available,False
UNIT00081,FAC001,O+,Platelets,54,2026-07-29,2026-08-03,2,Available,False
UNIT00082,FAC001,B+,Plasma,235,2026-04-07,2027-04-07,249,Available,False
UNIT00083,FAC001,A+,Plasma,247,2025-12-22,2026-12-22,143,Available,False
UNIT00084,FAC001,O+,Platelets,54,2026-07-30,2026-08-04,3,Available,False
UNIT00085,FAC001,B+,Plasma,220,2025-11-02,2026-11-02,93,Available,False
UNIT00086,FAC001,B+,Plasma,250,2025-12-18,2026-12-18,139,Available,False
UNIT00087,FAC001,O+,RBC,292,2026-07-11,2026-08-15,14,Available,False
UNIT00088,FAC001,O+,Platelets,53,2026-07-31,2026-08-05,4,Reserved,False
UNIT00089,FAC001,O+,RBC,252,2026-07-05,2026-08-09,8,Available,False
UNIT00090,FAC001,B+,Plasma,229,2026-01-11,2027-01-11,163,Available,False
UNIT00091,FAC001,B+,RBC,275,2026-07-09,2026-08-13,12,Available,False
UNIT00092,FAC001,B+,Whole Blood,363,2026-06-30,2026-08-04,3,Available,True
UNIT00093,FAC001,O+,RBC,283,2026-07-24,2026-08-28,27,Reserved,False
UNIT00094,FAC001,B+,RBC,258,2026-06-29,2026-08-03,2,Available,True
UNIT00095,FAC001,O+,Platelets,59,2026-07-27,2026-08-01,0,Reserved,False
UNIT00096,FAC001,O+,Plasma,210,2025-10-10,2026-10-10,70,Available,True
UNIT00097,FAC001,O+,Plasma,240,2026-03-03,2027-03-03,214,Available,False
UNIT00098,FAC001,B+,Plasma,204,2026-01-05,2027-01-05,157,Available,False
UNIT00099,FAC001,O+,RBC,284,2026-07-22,2026-08-26,25,Available,False
UNIT00100,FAC001,A+,RBC,295,2026-07-23,2026-08-27,26,Available,False
UNIT00101,FAC001,A+,Plasma,226,2026-03-15,2027-03-15,226,Available,False
UNIT00102,FAC001,A+,Plasma,244,2026-03-21,2027-03-21,232,Available,False
UNIT00103,FAC001,A+,Plasma,219,2026-02-23,2027-02-23,206,Reserved,False
UNIT00104,FAC001,O+,Plasma,238,2026-02-04,2027-02-04,187,Available,False
UNIT00105,FAC001,O+,Plasma,201,2026-05-04,2027-05-04,276,Available,False
UNIT00106,FAC001,B+,Plasma,208,2025-11-29,2026-11-29,120,Available,False
UNIT00107,FAC001,O-,Whole Blood,434,2026-06-29,2026-08-03,2,Available,True
