District,Village,Taluk,Pin_Code,Locality,Main_Road,Landmark,Est_Population
Ballari,Moka,Ballari,583135,Moka Village Square,Ballari-Moka Road,Gram Panchayat Office,12500
Ballari,Sirigeri,Siruguppa,583223,Sirigeri Market Area,Siruguppa Main Road,Anjaneya Temple,14200
Ballari,Bandri,Sandur,583128,Bandri Cross,Sandur-Hospet Road,Government High School,8900
Ballari,Emmiganur,Kurugodu,583114,Emmiganur Bus Stand,Kurugodu Road,Maruti Temple,10100
Ballari,Kampli Rural,Kampli,583132,Fort Area,Kampli-Hospet Road,Kampli Sugar Factory Gate,18500
Ballari,Kudathini,Ballari,583120,Kudathini Junction,National Highway 63,Kudathini Railway Station,22000
Ballari,Bhujanganagar,Sandur,583123,Main Colony,Donimalai Road,Community Hall,7500
Ballari,Kolagallu,Ballari,583128,Kolagallu Village Center,Hatti Gold Mines Road,Basaveshwara Temple,9200
Ballari,Tekkalakote,Siruguppa,583122,Fort Road Locality,Siruguppa-Ballari Highway,Amareshwara Temple,26000
Ballari,Bannihatti,Sandur,583115,Bannihatti Village,Sandur State Highway,Government Primary Health Centre,6800
Ballari,Bommagatta,Sandur,583119,Bommagatta Layout,Kudligi-Sandur Road,Huligemma Temple,8100
Ballari,Yerrangali,Kurugodu,583116,Yerrangali Cross,Kurugodu-Kampli Road,Veterinary Hospital,7200
Ballari,Hatcholli,Siruguppa,583121,Hatcholli Bazar,Siruguppa-Kurnool Road,Police Station,11500
Ballari,Siddamanahalli,Ballari,583111,Siddamanahalli Village,Siruguppa Road,Milk Dairy Cooperative,6400
Ballari,Genikehal,Kurugodu,583113,Genikehal Bus Stop,Ballari-Kurugodu Road,Government PU College,9600
Ballari,Toranagal,Sandur,583123,Vidyanagar Township,National Highway 49,Toranagallu Railway Station,31000
Ballari,Daddudi,Siruguppa,583114,Daddudi Village,River Bank Road,Gram Panchayat Building,5300
Ballari,Kududarahal,Kampli,583134,Kududarahal Cross,Kampli Main Road,Anjaneya Swamy Temple,6100
Ballari,Rupangudi,Ballari,583103,Rupangudi Village,Guntakal Road,Rupangudi Border Outpost,7800
Ballari,Choranoor,Sandur,583112,Choranoor Circle,Kudligi-Sandur Road,Choranoor Police Station,13400
Raichur,Kharabdinni,Manvi,584143,Kharabdinni Corner,Manvi-Sindhanur Road,Government Urdu Primary School,5900
Raichur,Kallur,Sirwar,584129,Kallur Chowk,Sirwar Main Road,Kallur Fort Ruins,11200
Raichur,Gabbur,Devadurga,584111,Gabbur Bazar,Raichur-Devadurga Road,Venkateshwara Temple,13500
Raichur,Maski,Maski,584124,Ashoka Rock Edict Site,Maski-Mudgal Road,Bus Stand Circle,28000
Raichur,Turvihal,Sindhanur,584132,Turvihal Market,Sindhanur-Kushtagi Road,Police Station,16400
Raichur,Mudgal,Lingsugur,584125,Fort Area,Lingsugur-Mudgal Road,Mudgal Fort Main Gate,24500
Raichur,Yeramarus,Raichur,584134,RTPS Colony,Raichur-Hyderabad Highway,Yeramarus Thermal Power Station,19200
Raichur,Kavital,Sirwar,584120,Kavital Bazar Circle,Raichur-Bagalkot Road,Trayambakeshwara Temple,17800
Raichur,Pothnal,Manvi,584123,Pothnal Cross,Manvi-Sindhanur Highway,Loyola School Campus,12100
Raichur,Hutti,Lingsugur,584115,Hutti Gold Mines Colony,Gold Mines Main Road,Hutti Hospital,29500
Raichur,Gorebal,Sindhanur,584128,Camp 4 Area,Sindhanur Canal Road,Gorebal Hanuman Temple,8300
